depth,time,rays
5,68.1079,5827.52
10,127.009,3124.96
15,184.721,2148.65
20,238.645,1663.14
25,294.883,1345.96
30,347.926,1140.76
35,401.787,987.836
40,455.293,871.746
45,508.554,780.448
50,565.322,702.077
55,616.938,643.339
60,671.235,591.298
65,729.572,544.018
70,778.429,509.873
75,828.167,479.251
80,882.029,449.985
85,1188.95,333.823
90,1342.11,295.729
95,1396.68,284.174
100,1489.8,266.412
105,1597.69,248.421
110,1702.88,233.076
115,1756.04,226.02
120,1812.13,219.025
125,1920.53,206.662
130,1925.64,206.113
135,1974.82,200.981
140,2076.1,191.176
145,2127.9,186.522
150,2134.59,185.937
155,2181.32,181.954
160,2236.17,177.491
165,2384.01,166.484
170,2396.5,165.616
175,2391.03,165.996
180,2544.5,155.984
185,2595.21,152.936
